0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
"On the other side, the side toward which they fell, the Sun was a blinding sphere of white light, its huge coronal flames wavering fearfully around its orb.","[2, 3, 5, 4, 3, 4, 6, 5, 4, 4, 3, 3, 3, 1, 8, 6, 2, 5, 5, 3, 4, 7, 6, 8, 9, 6, 3, 3]",125,"[1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 3, 4, 2, 1, 1]",39,-0.045,4,0,0,3
"Seen to one side, surprisingly close to the Sun, was a tiny half-moon.","[4, 2, 3, 4, 12, 5, 2, 3, 3, 3, 1, 4, 9]",55,"[1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 2]",18,0.35,17,1,1,2
"""That's Mercury,"" said Russ, pointing it out.","[4, 2, 7, 4, 4, 8, 2, 3]",34,"[1, 0, 3, 1, 1, 2, 1, 1]",10,0.0,6,1,1,1
"""The smallest planet and the closest to the Sun.","[3, 8, 6, 3, 3, 7, 2, 3, 3]",38,"[1, 2, 2, 1, 1, 2, 1, 1, 1]",12,0.0,6,1,1,1
"After we leave Venus, we'll have to visit it.","[5, 2, 5, 5, 2, 3, 4, 2, 5, 2]",35,"[2, 1, 2, 2, 1, 0, 1, 1, 2, 1]",13,0.0,6,1,1,1
"We know there's a Sun-tap station there--and because it's so close to the Sun--its orbit ranges between twenty-eight million miles and under forty-four million miles--the station must be a most important and large one.""","[2, 4, 5, 2, 1, 7, 7, 5, 3, 7, 2, 2, 2, 5, 2, 3, 3, 3, 5, 6, 7, 12, 7, 5, 3, 5, 10, 7, 5, 3, 7, 4, 2, 1, 4, 9, 3, 5, 3]",178,"[1, 1, 1, 0, 1, 2, 2, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 2, 1, 1, 2, 3, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1]",52,0.371428571429,19,0,0,3
Burl gazed at the point of light that was the innermost planet.,"[4, 5, 2, 3, 5, 2, 5, 4, 3, 3, 9, 6]",51,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2]",15,0.4,17,1,1,2
"""Those Sun-tap stations ...","[5, 7, 8]",20,"[1, 2, 2]",5,0.0,10,1,1,1
"The more I think about it, the more I wonder what we're up against.","[3, 4, 1, 5, 5, 2, 3, 4, 1, 6, 4, 2, 3, 2, 7]",52,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2]",17,0.5,17,1,1,2
It seems to me that it ought to be easy for the kind of people who can build such things to catch us and stop us.,"[2, 5, 2, 2, 4, 2, 5, 2, 2, 4, 3, 3, 4, 2, 6, 3, 3, 5, 4, 6, 2, 5, 2, 3, 4, 2]",87,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",28,0.344444444444,11,0,0,2
"In fact, I wonder why they haven't already gone after us for stopping the one on Earth?""","[2, 4, 1, 6, 3, 4, 4, 3, 7, 4, 5, 2, 3, 8, 3, 3, 2, 5]",69,"[1, 1, 1, 2, 1, 1, 1, 0, 4, 1, 2, 1, 1, 2, 1, 1, 1, 2]",24,0.0,15,1,1,0
Russ whistled softly between his teeth.,"[4, 8, 6, 7, 3, 5]",33,"[1, 1, 2, 2, 1, 1]",8,0.1,6,1,1,1
"""We've some ideas about that.","[2, 3, 4, 5, 5, 4]",23,"[1, 0, 1, 3, 2, 1]",8,0.0,10,1,1,1
The military boys worked on it.,"[3, 8, 4, 6, 2, 2]",25,"[1, 4, 1, 1, 1, 1]",9,-0.1,0,1,1,1
You know you can figure out a lot of things from just a few bits of evidence.,"[3, 4, 3, 3, 6, 3, 1, 3, 2, 6, 4, 4, 1, 3, 4, 2, 8]",60,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",20,-0.2,18,1,1,0
We have such evidence from what happened to you on Earth.,"[2, 4, 4, 8, 4, 4, 8, 2, 3, 2, 5]",46,"[1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2]",15,0.0,6,1,1,1
"You ought to speak to Haines about it.""","[3, 5, 2, 5, 2, 6, 5, 2]",30,"[1, 1, 1, 2, 1, 1, 2, 1]",10,0.0,6,1,1,1
Burl turned away from the viewer.,"[4, 6, 4, 4, 3, 6]",27,"[1, 1, 2, 1, 1, 3]",9,0.0,6,1,1,1
"""Let's find him now.","[3, 2, 4, 3, 3]",15,"[1, 0, 1, 1, 1]",4,0.0,10,1,1,1
I don't think he's very busy.,"[1, 2, 3, 5, 2, 2, 4, 4]",23,"[1, 1, 0, 1, 1, 0, 2, 2]",8,0.13,9,1,1,1
"He said something about catching up on his reading this period.""","[2, 4, 9, 5, 8, 2, 2, 3, 7, 4, 6]",52,"[1, 1, 3, 2, 2, 1, 1, 1, 3, 1, 2]",18,0.6,17,1,1,2
"Russ nodded, and the two of them got up from their seat.","[4, 6, 3, 3, 3, 2, 4, 3, 2, 4, 5, 4]",43,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",13,0.0,6,1,1,1
"With a wave to Oberfield and Caton on duty at the controls, the two climbed down the ladder that led into the middle part of the living space.","[4, 1, 4, 2, 9, 3, 5, 2, 4, 2, 3, 8, 3, 3, 7, 4, 3, 6, 4, 3, 4, 3, 6, 4, 2, 3, 6, 5]",113,"[1, 1, 1, 1, 4, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 0, 2, 1, 1, 1, 1, 1, 2, 1]",36,-0.0777777777778,2,0,0,3
They looked into Haines's quarters but he wasn't there.,"[4, 6, 4, 6, 2, 8, 3, 2, 3, 3, 5]",46,"[1, 1, 2, 1, 0, 2, 1, 1, 1, 0, 1]",11,0.0,6,1,1,1
So they went down the next hatchway into the lower section.,"[2, 4, 4, 4, 3, 4, 8, 4, 3, 5, 7]",48,"[1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2]",15,-0.0777777777778,6,1,1,1
"Haines and Ferrati were sitting at a table in the cooking quarters, drinking coffee.","[6, 3, 7, 4, 7, 2, 1, 5, 2, 3, 7, 8, 8, 6]",69,"[1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2]",21,0.0,15,1,1,0
"The two men, both heavy and muscular, used to the open spaces and the feel of the winds, were taking the enforced confinement in the cramped and artificially oxygenated space of the ship with ill ease.","[3, 3, 3, 4, 5, 3, 8, 4, 2, 3, 4, 6, 3, 3, 4, 2, 3, 5, 4, 6, 3, 8, 11, 2, 3, 7, 3, 12, 10, 5, 2, 3, 4, 4, 3, 4]",162,"[1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 4, 1, 1, 1, 1, 6, 4, 1, 1, 1, 1, 1, 1, 2]",55,-0.325,12,0,0,3
"For them, it was like a stretch in jail.","[3, 4, 2, 3, 4, 1, 7, 2, 4]",30,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,-0.1,0,1,1,1
They greeted the two younger men jovially and invited them to a seat.,"[4, 7, 3, 3, 7, 3, 8, 3, 7, 4, 2, 1, 4]",56,"[1, 1, 1, 1, 2, 1, 4, 1, 2, 1, 1, 1, 2]",19,0.0,15,1,1,0
"While Russ poured a cup of coffee for himself, Burl opened the subject of how much the expedition had worked out about the enemy.","[5, 4, 6, 1, 3, 2, 6, 3, 7, 4, 6, 3, 7, 2, 3, 4, 3, 10, 3, 6, 3, 5, 3, 5]",104,"[1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 3]",34,0.0166666666667,2,0,0,0
Haines's pale blue eyes gleamed.,"[6, 2, 4, 4, 4, 7]",27,"[1, 0, 1, 0, 0, 2]",4,-0.105,10,1,1,1
"""You can know an awful lot about an enemy if you know what he didn't do as well as what he did do.","[3, 3, 4, 2, 5, 3, 5, 2, 5, 2, 3, 4, 4, 2, 3, 3, 2, 2, 4, 2, 4, 2, 3, 2]",74,"[1, 1, 1, 1, 2, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",27,-1.0,5,1,1,0
"If you figure out what you yourself should have done under the same circumstances, and know he didn't do, why, that gives you some valuable hints as to his deficiencies.","[2, 3, 6, 3, 4, 3, 8, 6, 4, 4, 5, 3, 4, 13, 3, 4, 2, 3, 3, 2, 3, 4, 5, 3, 4, 8, 5, 2, 2, 3, 12]",136,"[1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5]",40,0.0,4,0,0,3
"As we see it, we've got a fighting chance of spoiling his game.","[2, 2, 3, 2, 2, 3, 3, 1, 8, 6, 2, 8, 3, 4]",49,"[1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 2, 1, 1]",15,-0.4,8,1,1,0
"Certainly of spoiling it long enough to allow Earth several more years to get a fleet of ships like this into operation and give him plenty of trouble.""","[9, 2, 8, 2, 4, 6, 2, 5, 5, 7, 4, 5, 2, 3, 1, 5, 2, 5, 4, 4, 4, 9, 3, 4, 3, 6, 2, 7]",123,"[3, 1, 2, 1, 1, 2, 1, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 1, 2, 1, 1]",42,0.077380952381,4,0,0,3
Suddenly Burl felt more cheerful.,"[8, 4, 4, 4, 8]",28,"[3, 1, 1, 1, 2]",8,0.3,9,1,1,2
"At the back of his mind there had been a carefully concealed point of cold terror--he remembered the clean efficiency of the Sun-tap station, the evidence of a science far beyond that of Earth.","[2, 3, 4, 2, 3, 4, 5, 3, 4, 1, 9, 9, 5, 2, 4, 6, 2, 10, 3, 5, 10, 2, 3, 7, 7, 3, 8, 2, 1, 7, 3, 6, 4, 2, 5]",156,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 2, 1, 3, 1, 2, 5, 1, 1, 2, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 2]",54,-0.0466666666667,12,0,0,3
He pressed the point.,"[2, 7, 3, 5]",17,"[1, 1, 1, 1]",4,0.0,10,1,1,1
"""Just what do we really know?""","[4, 4, 2, 2, 6, 4]",22,"[1, 1, 1, 1, 3, 1]",8,0.2,9,1,1,1
Haines leaned back and rubbed his hands together.,"[6, 6, 4, 3, 6, 3, 5, 8]",41,"[1, 2, 1, 1, 1, 1, 1, 3]",11,0.0,6,1,1,1
"""There were several things that gave their weaknesses away.","[5, 4, 7, 6, 4, 4, 5, 10, 4]",49,"[1, 1, 3, 1, 1, 1, 1, 3, 2]",14,0.0,6,1,1,1
"When we put it all together, we decided that the enemy represents some sort of limited advanced force or scouting group of a civilization still too far away to count in the immediate future.","[4, 2, 3, 2, 3, 8, 2, 7, 4, 3, 5, 10, 4, 4, 2, 7, 8, 5, 2, 8, 5, 2, 1, 12, 5, 3, 3, 4, 2, 5, 2, 3, 9, 6]",155,"[1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 3, 3, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 5, 1, 1, 1, 2, 1, 1, 1, 1, 4, 2]",53,0.107142857143,19,0,0,3
We decided that the enemy isn't too aware of our present abilities--that his intelligence service is poor as far as modern Earth is concerned.,"[2, 7, 4, 3, 5, 2, 3, 3, 5, 2, 3, 7, 9, 4, 3, 12, 7, 2, 4, 2, 3, 2, 6, 5, 2, 9]",116,"[1, 2, 1, 1, 3, 1, 0, 1, 2, 1, 1, 2, 4, 1, 1, 4, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2]",40,0.03,4,0,0,3
"We figure he won't be able to act with any speed to repair the damages we make.""","[2, 6, 2, 2, 3, 2, 4, 2, 3, 4, 3, 5, 2, 6, 3, 7, 2, 4]",62,"[1, 2, 1, 1, 0, 1, 1, 1, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1]",20,0.5,17,1,1,2
"""Tell them how we worked that out,"" said Ferrati, who had begun to grow again the short black beard that Burl remembered he had worn on his famous expeditions.","[4, 4, 3, 2, 6, 4, 3, 4, 7, 3, 3, 5, 2, 4, 5, 3, 5, 5, 5, 4, 4, 10, 2, 3, 4, 2, 3, 6, 11]",126,"[1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 4]",40,0.111111111111,4,0,0,3
"""Well,"" said Haines, drawing the word out to build up suspense, ""did you know that the station in the Andes, the one you cracked open, was built at least thirty years ago?","[4, 4, 6, 7, 3, 4, 3, 2, 5, 2, 8, 3, 3, 4, 4, 3, 7, 2, 3, 5, 3, 3, 3, 7, 4, 3, 5, 2, 5, 6, 5, 3]",131,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2]",40,-0.15,13,0,0,3
"And never put into operation in all that time?""","[3, 5, 3, 4, 9, 2, 3, 4, 4]",37,"[1, 2, 1, 2, 4, 1, 1, 1, 1]",14,0.0,6,1,1,1
Burl was surprised.,"[4, 3, 9]",16,"[1, 1, 2]",4,0.1,10,1,1,1
"""Why ...",[3],3,[1],1,0.0,10,1,1,1
I hadn't thought of it--but it could have been.,"[1, 3, 3, 7, 2, 2, 3, 2, 5, 4, 4]",36,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.0,6,1,1,1
"That valley was so isolated and deserted, probably nobody would ever have spotted it.","[4, 6, 3, 2, 8, 3, 8, 8, 6, 5, 4, 4, 7, 2]",70,"[1, 2, 1, 1, 3, 1, 2, 3, 3, 1, 2, 1, 1, 1]",23,0.0,15,1,1,0
"""Right,"" Haines added, ""and our investigation team studied the remains, the foundations, the layout, and we're sure it's been there at least three decades.","[5, 6, 5, 3, 3, 13, 4, 7, 3, 7, 3, 11, 3, 6, 3, 2, 3, 4, 2, 2, 4, 5, 2, 5, 5, 7]",123,"[1, 1, 1, 1, 1, 5, 2, 2, 1, 2, 1, 3, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 2]",35,0.161904761905,1,0,0,3
That's one clue.,"[4, 2, 3, 4]",13,"[1, 0, 1, 0]",2,0.0,10,1,1,1
"""The second clue was the relative flimsiness of the walls.","[3, 6, 4, 3, 3, 8, 10, 2, 3, 5]",47,"[1, 2, 0, 1, 1, 3, 3, 1, 1, 1]",14,0.0,6,1,1,1
The builders hadn't expected us to be able to blow them up.,"[3, 8, 3, 3, 8, 2, 2, 2, 4, 2, 4, 4, 2]",47,"[1, 2, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1]",14,0.2,9,1,1,2
"They were some sort of quick construction--a plastic, strong, but not able to hold up against blasting powder, let alone real heavy bombs or A-bombs.","[4, 4, 4, 4, 2, 5, 12, 1, 7, 6, 3, 3, 4, 2, 4, 2, 7, 8, 6, 3, 5, 4, 5, 5, 2, 7]",119,"[1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 3, 1, 1, 2]",37,0.0541666666667,4,0,0,3
"""Now why was that?","[3, 3, 3, 4]",13,"[1, 1, 1, 1]",4,0.0,10,1,1,1
"And the third clue, why didn't they have a repair system available, or at least some sort of automatic antiaircraft defense?""","[3, 3, 5, 4, 3, 3, 3, 4, 4, 1, 6, 6, 9, 2, 2, 5, 4, 4, 2, 9, 12, 7]",101,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2, 2, 3, 1, 1, 2, 1, 1, 1, 4, 4, 2]",32,0.0333333333333,2,0,0,0
Burl looked at Ferrati.,"[4, 6, 2, 7]",19,"[1, 1, 1, 3]",6,0.0,10,1,1,1
The latter was watching him shrewdly to see if he could figure it out.,"[3, 6, 3, 8, 3, 8, 2, 3, 2, 2, 5, 6, 2, 3]",56,"[1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1]",18,0.0,15,1,1,0
"""The builders didn't expect an air attack,"" said Burl slowly, ""because of the air disturbances.","[3, 8, 3, 3, 6, 2, 3, 6, 4, 4, 6, 7, 2, 3, 3, 12]",75,"[1, 2, 1, 0, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 3]",22,-0.3,18,1,1,0
They did not know we would have a Moon base that could spot their location.,"[4, 3, 3, 4, 2, 5, 4, 1, 4, 4, 4, 5, 4, 5, 8]",60,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",17,-0.8,5,1,1,0
Hence they figured that our civilization would remain as it was thirty years ago.,"[5, 4, 7, 4, 3, 12, 5, 6, 2, 2, 3, 6, 5, 3]",67,"[1, 1, 2, 1, 1, 5, 1, 2, 1, 1, 1, 2, 2, 2]",23,0.0,15,1,1,0
"We wouldn't have been able to spot the location at that time, because it required outer-space observation.","[2, 5, 3, 4, 4, 4, 2, 4, 3, 8, 2, 4, 4, 7, 2, 8, 11, 11]",88,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 2, 3, 4]",26,0.5,11,0,0,2
"It might have taken us several years of tramping around to locate it.""","[2, 5, 4, 5, 2, 7, 5, 2, 8, 6, 2, 6, 2]",56,"[1, 1, 1, 2, 1, 3, 2, 1, 2, 2, 1, 2, 1]",20,0.0,15,1,1,0
"""And the lack of a strong permanent construction?","[3, 3, 4, 2, 1, 6, 9, 12]",40,"[1, 1, 1, 1, 1, 1, 3, 3]",12,0.433333333333,17,1,1,2
"After all, a concrete and steel-enforced embankment, which any military force on Earth could have put there, would have balked your dynamite attack,"" probed Haines.","[5, 3, 1, 8, 3, 14, 10, 5, 3, 8, 5, 2, 5, 5, 4, 3, 5, 5, 4, 6, 4, 8, 6, 6, 6]",134,"[2, 1, 1, 2, 1, 3, 3, 1, 2, 4, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1]",39,0.025,4,0,0,3
"""That means they didn't have the time or the means to make such a construction.","[4, 5, 4, 3, 3, 4, 3, 4, 2, 3, 5, 2, 4, 4, 1, 12]",63,"[1, 2, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3]",19,0.0,15,1,1,0
"They must have had a single ship with the kind of equipment that could lay out a quick base in the shortest time!""","[4, 4, 4, 3, 1, 6, 4, 4, 3, 4, 2, 9, 4, 5, 3, 3, 1, 5, 4, 2, 3, 8, 4]",90,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",26,-0.0345238095238,2,0,0,0
said Burl.,"[4, 4]",8,"[1, 1]",2,0.0,10,1,1,1
"""Right!""",[5],5,[1],1,0.357142857143,9,1,1,2
snapped Haines.,"[7, 6]",13,"[1, 1]",2,0.0,10,1,1,1
"""The Sun-tap must have been built by a relatively small team, which probably came in a single explorer ship.","[3, 7, 4, 4, 4, 5, 2, 1, 10, 5, 4, 5, 8, 4, 2, 1, 6, 8, 4]",87,"[1, 2, 1, 1, 1, 1, 1, 1, 5, 1, 2, 1, 3, 1, 1, 1, 1, 3, 1]",29,-0.160714285714,18,0,0,0
"The ship was equipped with automatic factory machinery that could turn out an adequate base for an uninhabited planet, an airless moon, and so on--but they didn't have the stuff for a fortified base--and they didn't have the manpower to build it.""","[3, 4, 3, 8, 4, 9, 7, 9, 4, 5, 4, 3, 2, 8, 4, 3, 2, 11, 6, 2, 7, 4, 3, 2, 2, 3, 4, 3, 3, 4, 3, 5, 3, 1, 9, 4, 3, 4, 3, 3, 4, 3, 8, 2, 5, 2]",198,"[1, 1, 1, 2, 1, 4, 3, 4, 1, 1, 1, 1, 1, 3, 1, 1, 1, 4, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 3, 1, 1, 1]",64,-0.233333333333,12,0,0,3
"""Another indication of that is the thirty-year delay,"" added Ferrati.","[7, 10, 2, 4, 2, 3, 11, 5, 5, 7]",56,"[3, 4, 1, 1, 1, 1, 4, 2, 1, 3]",21,0.0,15,1,1,0
"""Obviously, they arrived in this solar system from somewhere outside it.","[9, 4, 7, 2, 4, 5, 6, 4, 9, 7, 2]",59,"[3, 1, 2, 1, 1, 2, 2, 1, 3, 2, 1]",19,0.0,15,1,1,0
We figure that way because otherwise they would have been prepared to do the job on all the planets in the same trip and start operations at once.,"[2, 6, 4, 3, 7, 9, 4, 5, 4, 4, 8, 2, 2, 3, 3, 2, 3, 3, 7, 2, 3, 4, 4, 3, 5, 10, 2, 4]",118,"[1, 2, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1]",37,0.0,4,0,0,3
They must have made some observations of this solar system from a point in space at least as far away as another star.,"[4, 4, 4, 4, 4, 12, 2, 4, 5, 6, 4, 1, 5, 2, 5, 2, 5, 2, 3, 4, 2, 7, 4]",95,"[1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1]",32,-0.1,2,0,0,0
"That means not less than four and a half light-years away--Proxima Centauri being the nearest star after our Sun, and four and a half light-years from us.","[4, 5, 3, 4, 4, 4, 3, 1, 4, 11, 4, 7, 8, 5, 3, 7, 4, 5, 3, 3, 3, 4, 3, 1, 4, 11, 4, 2]",124,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 2, 3, 3, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1]",41,-0.0833333333333,4,0,0,3
Their observations were imperfect.,"[5, 12, 4, 9]",30,"[1, 4, 1, 3]",9,0.0,6,1,1,1
They found more planets and problems than they had supposed.,"[4, 5, 4, 7, 3, 8, 4, 4, 3, 8]",50,"[1, 1, 1, 2, 1, 2, 1, 1, 1, 2]",13,0.5,17,1,1,2
So they had to make a second trip to get enough supplies to finish their Sun-tap base constructions.,"[2, 4, 3, 2, 4, 1, 6, 4, 2, 3, 6, 8, 2, 6, 5, 7, 4, 13]",82,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 3]",25,-0.266666666667,18,1,1,0
It took them thirty years between the first stations and the ones that completed the job.,"[2, 4, 4, 6, 5, 7, 3, 5, 8, 3, 3, 4, 4, 9, 3, 3]",73,"[1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1]",21,0.25,16,1,1,2
"""And that, too, suggests that only one ship was originally involved here.","[3, 4, 3, 8, 4, 4, 3, 4, 3, 10, 8, 4]",58,"[1, 1, 1, 2, 1, 2, 1, 1, 1, 5, 2, 1]",19,0.1875,16,1,1,2
"Of course, maybe they came back with more the second time, but it still looks as if the main force hasn't arrived.","[2, 6, 5, 4, 4, 4, 4, 4, 3, 6, 4, 3, 2, 5, 5, 2, 2, 3, 4, 5, 3, 3, 7]",90,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2]",24,0.166666666667,16,0,0,2
"And won't, until after the Sun novas.""","[3, 2, 3, 5, 5, 3, 3, 5]",29,"[1, 1, 0, 2, 2, 1, 1, 2]",10,0.0,6,1,1,1
"""Then that means,"" said Burl quickly, ""that we are still dealing with just a small and isolated group?""","[4, 4, 5, 4, 4, 7, 4, 2, 3, 5, 7, 4, 4, 1, 5, 3, 8, 5]",79,"[1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1]",24,0.0416666666667,2,0,0,0
"""Maybe,"" said Haines.","[5, 4, 6]",15,"[1, 1, 1]",3,0.0,10,1,1,1
"""Just what constitutes a small group may be hard to say.","[4, 4, 11, 1, 5, 5, 3, 2, 4, 2, 3]",44,"[1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",13,-0.270833333333,0,1,1,0
I rather think they'd have brought the engineers and at least an advance working party of settlers with them the second trip in.,"[1, 6, 5, 4, 2, 4, 7, 3, 9, 3, 2, 5, 2, 7, 7, 5, 2, 8, 4, 4, 3, 6, 4, 2]",105,"[1, 2, 1, 1, 0, 1, 1, 1, 3, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1]",32,-0.15,13,0,0,0
"But they are still short of available ships--they're still not aware of what we may be going to do.""","[3, 4, 3, 5, 5, 2, 9, 5, 4, 3, 5, 3, 5, 2, 4, 2, 3, 2, 5, 2, 2]",78,"[1, 1, 1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",23,0.0916666666667,16,1,1,0
"""Why is that?""","[3, 2, 4]",9,"[1, 1, 1]",3,0.0,10,1,1,1
asked Burl.,"[5, 4]",9,"[1, 1]",2,0.0,10,1,1,1
Haines looked thoughtful.,"[6, 6, 10]",22,"[1, 1, 2]",4,0.4,17,1,1,2
"""This is conjecture.","[4, 2, 10]",16,"[1, 1, 3]",5,0.0,10,1,1,1
"But if they planted any spies among our Earth people, there's been no contact, because otherwise they'd have known we could track and crack their base as soon as it started.","[3, 2, 4, 7, 3, 5, 5, 3, 5, 6, 5, 2, 4, 2, 7, 7, 9, 4, 2, 4, 5, 2, 5, 5, 3, 5, 5, 4, 2, 4, 2, 2, 7]",140,"[1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 0, 1, 1, 2, 2, 3, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",38,-0.8,5,0,0,0
This means that they still haven't had scouting ships to spare for checking up on what they did the first time.,"[4, 5, 4, 4, 5, 4, 3, 3, 8, 5, 2, 5, 3, 8, 2, 2, 4, 4, 3, 3, 5, 4]",90,"[1, 2, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",24,0.25,16,0,0,2
No checkup means no spare personnel to do the checking.,"[2, 7, 5, 2, 5, 9, 2, 2, 3, 8]",45,"[1, 2, 2, 1, 1, 3, 1, 1, 1, 2]",15,0.0,6,1,1,1
"They just assumed that we hadn't caught on, and started operations by remote control as they had originally planned.""","[4, 4, 7, 4, 2, 3, 3, 6, 2, 3, 7, 10, 2, 6, 7, 2, 4, 3, 10, 7]",96,"[1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 4, 1, 2, 2, 1, 1, 1, 5, 1]",29,0.1375,1,0,0,0
"""And that also may mean that these people are hard up,"" said Ferrati.","[3, 4, 4, 3, 4, 4, 5, 6, 3, 4, 2, 4, 7]",53,"[1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3]",17,-0.302083333333,18,1,1,0
"""Wherever they came from, their civilization has been great, but it's gone to seed.","[8, 4, 4, 4, 5, 12, 3, 4, 5, 3, 2, 2, 4, 2, 4]",66,"[3, 1, 1, 1, 1, 5, 1, 1, 2, 1, 1, 0, 1, 1, 0]",20,0.8,14,0,0,2
